번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,PHONE_NUMBER,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
8561,553000001020100001,1,영업/정상,0,정상,,경기도 화성시 반송동 217-6 ,8015-3178,"경기도 화성시 동탄솔빛로 48, 103~104호 (반송동, 거택프라자)",18442.0,21세기동물병원,2020-08-05,127.07338145078168,37.19315032436481
8562,553000001020100002,1,영업/정상,0,정상,,경기도 화성시 향남읍 평리 81-22 ,366-0990,경기도 화성시 향남읍 삼천병마로 206,18592.0,한마음동물병원,2020-08-05,126.91056508149732,37.131415900152774
8563,553000001020100003,1,영업/정상,0,정상,,경기도 화성시 봉담읍 와우리 31-28 토마토오피스텔2 106호,613-3872,"경기도 화성시 봉담읍 와우로 89, 토마토오피스텔2 106호",18321.0,아마존동물병원,2020-08-05,126.97544439900047,37.21414277601009
8564,553000001020100004,1,영업/정상,0,정상,,경기도 화성시 팔탄면 노하리 436 ,,경기도 화성시 팔탄면 노하길 206,18576.0,중부동물병원,2020-08-05,126.85484169133801,37.158648522003816
8565,553000001020100006,1,영업/정상,0,정상,,경기도 화성시 향남읍 행정리 474-9 101~2호,359-8275,"경기도 화성시 향남읍 발안로 113, 101~102호",18591.0,향남메디동물병원,2021-06-05,126.92302044462491,37.131657472166495
8566,553000001020040004,1,영업/정상,0,정상,,경기도 화성시 병점동 364-4 ,238-7979,경기도 화성시 병점2로 9 (병점동),18411.0,서울대동물종합병원,2020-08-05,127.037923736522,37.2054593593225
8567,553000001020200006,1,영업/정상,0,정상,,경기도 화성시 향남읍 하길리 1470-2 ,031-352-0002,"경기도 화성시 향남읍 상신하길로298번길 7-21, 1동 211호",18611.0,루아동물병원,2020-10-09,126.9123707901501,37.11519661203364
8568,553000001020210001,1,영업/정상,0,정상,,경기도 화성시 능동 1093-12 ,0316137509,"경기도 화성시 여울로4길 46, 2층 (능동)",18422.0,나래동물의료센터,2021-03-04,127.05583756419138,37.216305529341845
8615,553000001020150005,1,영업/정상,0,정상,,경기도 화성시 반송동 106-7 서해더블루 ,031-831-5508,"경기도 화성시 동탄문화센터로 75 (반송동, 서해더블루)",18455.0,메타 동물의료센터,2020-08-05,127.0734472152566,37.199989359601595
8616,553000001020150006,1,영업/정상,0,정상,,경기도 화성시 우정읍 조암리 230-9 ,031-358-0200,"경기도 화성시 우정읍 조암북로57번길 1, 1층",18566.0,홍익메디칼동물병원,2021-05-01,126.82019673317839,37.08635747259351
8617,553000001020150007,1,영업/정상,0,정상,,경기도 화성시 능동 1065-2 ,8003-7595,"경기도 화성시 동탄원천로 354-11, 106~107호 (능동)",18423.0,해솔동물병원,2020-08-05,127.05791869726819,37.218784744977775
8618,553000001020150008,1,영업/정상,0,정상,,경기도 화성시 청계동 510-815 ,031-373-7524,"경기도 화성시 동탄대로시범길 146, 201호 (청계동)",18476.0,동탄중앙동물병원,2020-08-05,127.1130485717589,37.20035004669908
8619,553000001020170003,1,영업/정상,0,정상,,경기도 화성시 영천동 701-10 101호,031-373-6307,"경기도 화성시 지산2길 12-20, 101호 (영천동)",18473.0,동탄스케치동물병원,2020-08-05,127.11256451066102,37.205421232528614
8620,553000001020170004,1,영업/정상,0,정상,,경기도 화성시 봉담읍 동화리 420-1 ,031-293-0075,경기도 화성시 봉담읍 동화새터길 5,18303.0,봉담우리애동물병원,2020-08-05,126.95280137009041,37.22334403906213
8621,553000001020170005,1,영업/정상,0,정상,,경기도 화성시 동탄면 산척리 산 16 ,031-376-9909,"경기도 화성시 동탄면 동탄산척로2가길 5, 1층",18496.0,나인동물의료센터,2021-04-08,127.11420130340322,37.17366925250128
8622,553000001020180001,1,영업/정상,0,정상,,경기도 화성시 팔탄면 노하리 1096-12 ,031-8059-3797,경기도 화성시 팔탄면 노하길 122,18576.0,수원화성오산축산농협 동물병원,2020-08-05,126.84774712552245,37.154651088181126
8623,553000001020180002,1,영업/정상,0,정상,,"경기도 화성시 오산동 969-3 201,202호 ",031-8677-2115,"경기도 화성시 동탄대로 489, 201,202호 (오산동)",18478.0,24시핸즈동물의료센터,2020-08-05,127.09825951454712,37.19734629658894
8624,553000001020180003,1,영업/정상,0,정상,,경기도 화성시 반송동 41-1 정일프라자 ,031-8003-7533,"경기도 화성시 동탄지성로 126, 정일프라자 109호, 202호 (반송동)",18434.0,동탄시티동물의료센터,2022-01-29,127.0618101184207,37.20935241664932
8625,553000001020180004,1,영업/정상,0,정상,,경기도 화성시 남양읍 남양리 1537-28 110-1호,0313577559,"경기도 화성시 남양읍 남양로 839, 헤븐리2프라자 1층 110-112호",18266.0,이루다 동물메디컬센터,2020-08-05,126.8321599787494,37.21044530119195
8626,553000001020180006,1,영업/정상,0,정상,,경기도 화성시 병점동 399-4 홈플러스 병점점 ,0312267582,"경기도 화성시 경기대로 985, 홈플러스 병점점 2층 (병점동)",18412.0,이리온 동물병원(병점점),2020-08-05,127.0367048542614,37.20368892924454
8627,553000001020180007,1,영업/정상,0,정상,,경기도 화성시 반송동 41-6 ,03180033232,"경기도 화성시 동탄지성로 112, 1층 (반송동)",18434.0,S동물의료센터,2020-08-05,127.06316464213478,37.20882653730445
8628,553000001020190003,1,영업/정상,0,정상,,경기도 화성시 목동 260 ,03180558565,경기도 화성시 왕배산3길 17 (목동),18490.0,아인스 동물병원,2020-08-05,127.12552328993482,37.18177638526308
8629,553000001020190006,1,영업/정상,0,정상,,경기도 화성시 산척동 산 118 ,031-8055-8075,"경기도 화성시 동탄순환대로 253, 203호 (산척동)",18501.0,이로운 동물병원,2020-08-05,127.11829168100212,37.16997747294194
8630,553000001020190007,1,영업/정상,0,정상,,경기도 화성시 장안면 장안리 1000-5 ,031-351-5738,경기도 화성시 장안면 남양황라로 539-20,18586.0,누리팜 산업동물병원,2020-08-05,126.85307104639631,37.03241541359578
8631,553000001020190009,1,영업/정상,0,정상,,경기도 화성시 반월동 27-5 ,031-202-7512,"경기도 화성시 영통로 70, 대성프라자  2층 (반월동)",18379.0,힐링동물의료센터,2020-08-05,127.06141716367807,37.23632468492041
8632,553000001020190010,1,영업/정상,0,정상,,경기도 화성시 반송동 90-9 동탄 플래티넘 ,,"경기도 화성시 동탄지성로 2, 206호 (반송동, 동탄 플래티넘)",18453.0,동탄24시동물의료센터,2020-08-05,127.07391220806296,37.204984554880006
8634,554000001020190002,1,영업/정상,0,정상,,경기도 광주시 태전동 162-5번지 ,031-766-3463,"경기도 광주시 태전동로 25, 퍼스트타워 1층 104호 (태전동)",12787.0,하하동물병원,2019-01-10,127.23444301287765,37.38665558074527
8657,554000001020030005,1,영업/정상,0,정상,,경기도 광주시 초월읍 대쌍령리 185-1번지 ,031-768-8820,경기도 광주시 초월읍 경충대로 1264,,이솝동물병원,2018-08-31,127.28745193016601,37.38746832468236
8658,554000001020050003,1,영업/정상,0,정상,,경기도 광주시 경안동 123-7 3통,766-1475,경기도 광주시 경안안길 5 (경안동),12755.0,그랜드24시동물병원,2021-07-14,127.2518751572781,37.41449828985626
8659,554000001020100003,1,영업/정상,0,정상,,경기도 광주시 송정동 64-29번지 1층 ,7687599,"경기도 광주시 경안천로 5 (송정동,1층)",,동현24시동물병원,2020-04-10,127.26083408576986,37.414170705694694
8660,554000001020120001,1,영업/정상,0,정상,,경기도 광주시 쌍령동 168-2번지 ,"031-765-1100,1133",경기도 광주시 경충대로 1448 (쌍령동),12791.0,24시 모란동물 메디컬센터,2019-04-06,127.27368759111064,37.39936637212677
8661,554000001019980001,1,영업/정상,0,정상,,경기도 광주시 역동 27-63번지 ,761-2014,경기도 광주시 중앙로 74 (역동),,신장가축병원,2018-08-31,127.26055920350545,37.40704862500331
8662,554000001020000001,1,영업/정상,0,정상,,경기도 광주시 송정동 113-28번지 ,031-763-0170,경기도 광주시 중앙로 179 (송정동),12744.0,금강동물병원,2019-11-22,127.25670030539796,37.41559907380383
8663,554000001020000002,1,영업/정상,0,정상,,경기도 광주시 역동 22-26번지 ,031-761-2259,경기도 광주시 중앙로 96 (역동),12758.0,협동동물병원,2019-01-16,127.25908485643494,37.40843930572764
8664,554000001020020001,1,영업/정상,0,정상,,경기도 광주시 곤지암읍 곤지암리 394번지 ,797-4755,경기도 광주시 곤지암읍 대석동길 73,12801.0,우정동물병원,2019-11-22,127.344555651055,37.352935145319776
8665,554000001020030001,1,영업/정상,0,정상,,경기도 광주시 오포읍 능평리 166-1번지 ,726-3336,경기도 광주시 오포읍 능평로 203,,분당에덴동물병원,2018-08-31,127.17751426340595,37.34506837620447
8666,554000001020030002,1,영업/정상,0,정상,,경기도 광주시 중대동 17-10번지 ,764-3033,경기도 광주시 고불로 54 (중대동),,푸른동물병원,2018-12-12,127.23204359352488,37.39326836150837
8667,554000001020210001,1,영업/정상,0,정상,,경기도 광주시 오포읍 신현리 674 ,031-8022-7582,"경기도 광주시 오포읍 신현로 89, 2층",12820.0,서울동물영상센터,2021-07-14,127.15684890868425,37.36045509784429
8668,554000001020210003,1,영업/정상,0,정상,,경기도 광주시 곤지암읍 곤지암리 93-1 ,,"경기도 광주시 곤지암읍 광여로 91, 103호",12801.0,진영동물병원,2021-09-09,127.3556542201205,37.34973791199506
8670,554000001020200001,1,영업/정상,0,정상,,경기도 광주시 경안동 96-6 ,031-767-7588,경기도 광주시 파발로 161-1 (경안동),12755.0,모란동물병원,2020-11-13,127.25275419951882,37.414300979987864
8671,554000001020220001,1,영업/정상,0,정상,,경기도 광주시 장지동 83-13 ,,"경기도 광주시 순암로 54, 1층 2호 (장지동)",12777.0,시민동물병원,2022-01-16,127.24324022695689,37.39485408229137
8673,554000001020190004,1,영업/정상,0,정상,,경기도 광주시 초월읍 지월리 713-2번지 ,031-798-7581,경기도 광주시 초월읍 현산로385번길 74-12,12728.0,광주TNR동물병원(초월),2019-11-15,127.27621514252868,37.41590798409005
8674,554000001020190003,1,영업/정상,0,정상,,경기도 광주시 송정동 6-9번지 ,031-798-7581,"경기도 광주시 경안천로 144, 1층 (송정동)",12740.0,광주TNR동물병원(송정),2019-11-01,127.27527331019564,37.41747517332592
8675,554000001020130001,1,영업/정상,0,정상,,경기도 광주시 역동 27-9번지 ,031-763-7583,경기도 광주시 중앙로 69-4 (역동),12759.0,나비누리 동물병원,2020-02-09,127.26080263634509,37.40639223582567
8676,554000001020140001,1,영업/정상,0,정상,,경기도 광주시 곤지암읍 6-1번지 ,761-9394,경기도 광주시 곤지암읍 경충대로 702,12800.0,곤지암행복동물병원,2019-06-01,127.33168516414331,37.35324355997214
8677,554000001020140002,1,영업/정상,0,정상,,경기도 광주시 오포읍 양벌리 373-1번지 ,763-8825,경기도 광주시 오포읍 양벌로 212,12795.0,광주동물병원,2019-01-16,127.25363900323313,37.378093928121245
8678,554000001020150001,1,영업/정상,0,정상,,경기도 광주시 경안동 97-11번지 ,762-3575,경기도 광주시 파발로151번길 4-2 (경안동),12755.0,영주동물병원,2019-01-16,127.25361622829134,37.41405799344091
8679,554000001020160001,1,영업/정상,0,정상,,경기도 광주시 태전동 261-14번지 101호,767-0079,"경기도 광주시 태봉로 26, 101호 (태전동, 대한상가)",12785.0,견우동물병원,2018-08-31,127.23012939153743,37.39102189367639
