,번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
3858,3859,304000001019950002,3,폐업,0002,폐업,,서울특별시 광진구 자양동 236-127번지,,,가람동물병원,2018-08-31 23:59:59.0,35.317126517121544,129.72803279227173
3859,3860,315000001020030001,3,폐업,0002,폐업,,서울특별시 강서구 가양동 814번지 28통3반 방화5단지아파트 503동 617호,"서울특별시 강서구 양천로57길 10-20 (가양동, 이스타빌Ⅰ)",7526.0,고려종합동물병원,2018-08-31 23:59:59.0,35.150337698149265,129.75387552677535
3860,3861,315000001020030002,3,폐업,0002,폐업,,서울특별시 강서구 과해동 272번지,,,아이러브펫동물병원,2018-08-31 23:59:59.0,inf,inf
3861,3862,315000001020030003,3,폐업,0002,폐업,,서울특별시 강서구 공항동 687-4번지 13통8반 4층,서울특별시 강서구 송정로1길 29 (공항동),7627.0,준동물병원,2018-08-31 23:59:59.0,35.11698110182581,129.74553928684728
3862,3863,322000001020050011,3,폐업,0002,폐업,,서울특별시 강남구 삼성동 51-4번지 1층,"서울특별시 강남구 봉은사로 477 (삼성동,1층)",,마이펫하우스동물병원,2018-08-31 23:59:59.0,35.31039531339543,129.698736282226
3863,3864,322000001020060010,3,폐업,0002,폐업,,서울특별시 강남구 신사동 528-3번지 덕산빌딩 203호,서울특별시 강남구 압구정로 108 (신사동),6028.0,압구정신24동물병원,2018-08-31 23:59:59.0,35.28472958656453,129.7098922741967
3864,3865,322000001020060011,3,폐업,0002,폐업,,"서울특별시 강남구 논현동 277-21번지 미래빌딩 1, 2층","서울특별시 강남구 봉은사로 315 (논현동,미래빌딩 1, 2층)",,중앙동물메디컬센타,2018-08-31 23:59:59.0,35.30161730120836,129.6946911642779
3865,3866,322000001020060012,3,폐업,0002,폐업,,서울특별시 강남구 논현동 277-36번지,서울특별시 강남구 봉은사로 307 (논현동),,안세동물병원,2018-08-31 23:59:59.0,35.3010422070489,129.69419041277533
3866,3867,322000001020070001,3,폐업,0002,폐업,,서울특별시 강남구 역삼동 790-9번지,서울특별시 강남구 논현로 337 (역삼동),,디앤씨동물병원,2018-08-31 23:59:59.0,35.30031179807417,129.6766460505078
3867,3868,322000001020110005,3,폐업,0002,폐업,,서울특별시 강남구 청담동 35-1번지 306호,"서울특별시 강남구 삼성로135길 41 (청담동,306호)",,홈케어 동물병원,2018-08-31 23:59:59.0,35.305143639059146,129.70636755795067
3868,3869,322000001020050015,3,폐업,0002,폐업,,서울특별시 강남구 논현동 122-20번지,서울특별시 강남구 학동로6길 18 (논현동),,그레이스동물병원,2018-08-31 23:59:59.0,35.28794986490249,129.69498039301135
3869,3870,322000001020050016,3,폐업,0002,폐업,,서울특별시 강남구 신사동 630-23번지 2층,"서울특별시 강남구 도산대로 309 (신사동,2층)",,치료멍멍한방병원,2018-08-31 23:59:59.0,35.296360217828415,129.70962631507982
3870,3871,322000001020060001,3,폐업,0002,폐업,,서울특별시 강남구 수서동 747번지 삼성 아파트 상가 101호,"서울특별시 강남구 광평로31길 27 (수서동,삼성 아파트 상가 101호)",,수서동물병원,2018-08-31 23:59:59.0,35.3415871997801,129.66542569020982
3871,3872,322000001020100007,3,폐업,0002,폐업,,서울특별시 강남구 삼성동 35-3번지,서울특별시 강남구 선릉로 620 (삼성동),,닥터펫동물병원,2018-08-31 23:59:59.0,35.303272170609475,129.69730981137792
3872,3873,322000001020110006,3,폐업,0002,폐업,,서울특별시 강남구 역삼동 840-7번지 다양빌 1층,"서울특별시 강남구 도곡로13길 5 (역삼동,다양빌 1층)",,나래동물병원,2018-08-31 23:59:59.0,35.29821707237001,129.6720104113212
3873,3874,322000001020110007,3,폐업,0002,폐업,,서울특별시 강남구 신사동 561-16번지 외 1필지 (2층),"서울특별시 강남구 도산대로 155 (신사동,외 1필지 (2층))",,24시 페츠비동물병원,2018-08-31 23:59:59.0,35.28860829172387,129.70530785365284
3874,3875,322000001020110008,3,폐업,0002,폐업,,서울특별시 강남구 역삼동 834-8번지 2층,"서울특별시 강남구 역삼로 134 (역삼동,2층)",,메디포즈 동물의료센터,2018-08-31 23:59:59.0,35.29644674535051,129.67517565854618
3875,3876,322000001020140005,3,폐업,0002,폐업,,"서울특별시 강남구 역삼동 838-9번지 지하1층, 지상1,2층","서울특별시 강남구 도곡로 115, 지하1층,지상1,2층 (역삼동)",6253.0,봄동물병원,2018-08-31 23:59:59.0,35.29550537499058,129.6703839100169
3876,3877,324000001020140001,3,폐업,0002,폐업,,서울특별시 강동구 천호동 42번지,"서울특별시 강동구 양재대로 1571 (천호동, 홈플러스 1층)",5314.0,위즈펫동물병원 강동점,2018-08-31 23:59:59.0,35.38089990035822,129.7410458801662
3877,3878,322000001020110011,3,폐업,0002,폐업,,서울특별시 강남구 청담동 86번지,서울특별시 강남구 선릉로 806 (청담동),,한국동물영상의학센터,2018-08-31 23:59:59.0,35.299856588558185,129.71155609699323
3878,3879,315000001020020015,3,폐업,0002,폐업,,서울특별시 강서구 공항동 55-241번지 18통5반 301호,"서울특별시 강서구 공항대로 19 (공항동, 송정동물병원)",7619.0,송정종합동물병원,2018-08-31 23:59:59.0,35.11818309290086,129.7467714600076
3879,3880,315000001020020016,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 1096-10  번지,,,그랜드동물병원,2018-08-31 23:59:59.0,inf,inf
3880,3881,315000001020020017,3,폐업,0002,폐업,,서울특별시 강서구 염창동 718-16번지 24통7반 4층,서울특별시 강서구 양천로 675 (염창동),7542.0,서서울동물병원,2018-08-31 23:59:59.0,35.16551040596337,129.74068023265448
3881,3882,315000001020020018,3,폐업,0002,폐업,,서울특별시 강서구 등촌동 653-20번지 9통4반,서울특별시 강서구 공항대로 459 (등촌동),7570.0,비온뒤숲속동물병원,2018-08-31 23:59:59.0,35.154641277726796,129.74373203883567
3882,3883,316000001020060001,3,폐업,0002,폐업,,서울특별시 구로구 고척동 333번지 하이리빙아파트 상가 103호,"서울특별시 구로구 고척로 238 (고척동,하이리빙아파트 상가 103호)",,캐슬동물종합병원,2018-08-31 23:59:59.0,35.15693144701747,129.68527966561243
3883,3884,316000001020060002,3,폐업,0002,폐업,,서울특별시 구로구 구로동 516-14번지,서울특별시 구로구 구로중앙로28길 1-1 (구로동),,수 동물병원,2018-08-31 23:59:59.0,35.17820301722162,129.67709034145363
3884,3885,322000001020140006,3,폐업,0002,폐업,,서울특별시 강남구 신사동 561-16번지 1층,"서울특별시 강남구 도산대로 155, 1층 (신사동)",6037.0,페츠비동물의료센터,2018-08-31 23:59:59.0,35.28860829172387,129.70530785365284
3885,3886,322000001020140007,3,폐업,0002,폐업,,서울특별시 강남구 세곡동 281-4번지 강남리더스프라자 202-1호,"서울특별시 강남구 헌릉로 569 (세곡동, 강남리더스프라자 202-1호)",6376.0,마더스동물병원,2018-08-31 23:59:59.0,35.35107690257957,129.64574031662016
3886,3887,324000001020100002,3,폐업,0002,폐업,,서울특별시 강동구 둔촌동 486-7 준영빌딩,"서울특별시 강동구 양재대로 1410, 준영빌딩 (둔촌동)",5363.0,서울동물메디컬센터,2021-10-09 02:40:00.0,35.37804120758057,129.72393778607213
3887,3888,313000001020040001,3,폐업,0002,폐업,,서울특별시 마포구 망원동 477-3번지 한익빌딩 1층,"서울특별시 마포구 월드컵로 147 (망원동,한익빌딩 1층)",,이황동물병원,2018-08-31 23:59:59.0,35.19208715554617,129.75296636506786
3888,3889,316000001020050002,3,폐업,0002,폐업,,서울특별시 구로구 고척동 333번지 하이리빙아파트상가 1층 3호,"서울특별시 구로구 고척로 238 (고척동,하이리빙아파트상가 1층 3호)",,우리동물종합병원,2018-08-31 23:59:59.0,35.15693144701747,129.68527966561243
3889,3890,308000001020080001,3,폐업,0002,폐업,,서울특별시 강북구 미아동 1341-1번지 유머빌딩 103호,"서울특별시 강북구 솔샘로 220 (미아동, 유머빌딩 103호)",1193.0,수 동물병원,2019-04-26 02:40:00.0,35.27913882970384,129.82792434183366
3890,3891,324000001020100003,3,폐업,0002,폐업,,서울특별시 강동구 천호동 454-1   번지 이미트 B2,,,펫프렌즈동물병원 천호,2018-08-31 23:59:59.0,inf,inf
3891,3892,324000001020100004,3,폐업,0002,폐업,,서울특별시 강동구 상일동 457번지 3호,,,상일동물병원,2018-08-31 23:59:59.0,35.40319770063262,129.74257197037795
3892,3893,316000001020060003,3,폐업,0002,폐업,,서울특별시 구로구 고척동 333번지 하이리빙(아)상가 103호,"서울특별시 구로구 고척로 238 (고척동,하이리빙(아)상가 103호)",,캐슬동물종합병원,2018-08-31 23:59:59.0,35.15693144701747,129.68527966561243
3893,3894,316000001020070002,3,폐업,0002,폐업,,서울특별시 구로구 구로동 642-108번지 해원리버파크 105호,"서울특별시 구로구 구일로 110 (구로동,해원리버파크 105호)",,해원종합동물병원,2018-08-31 23:59:59.0,35.16719624851937,129.67213632678423
3894,3895,309000001020030005,3,폐업,0002,폐업,,서울특별시 도봉구 방학동 680-1번지,"서울특별시 도봉구 도봉로 669, 1층 (방학동)",1346.0,현대종합동물병원,2019-04-11 02:40:00.0,35.29777406485467,129.88290859275742
3895,3896,309000001020030006,3,폐업,0002,폐업,,서울특별시 도봉구 쌍문동 262-10번지 1층,"서울특별시 도봉구 시루봉로 59 (쌍문동,1층)",,온누리동물병원,2018-08-31 23:59:59.0,35.28662217308154,129.87249353562052
3896,3897,309000001020030007,3,폐업,0002,폐업,,서울특별시 도봉구 방학동 724-7번지,서울특별시 도봉구 방학로 37 (방학동),,양현철동물병원,2018-08-31 23:59:59.0,35.30266328486888,129.88044236077818
3897,3898,309000001020030008,3,폐업,0002,폐업,,서울특별시 도봉구 방학동 718-7번지 ESA아파트1단지 상가 112호,"서울특별시 도봉구 마들로 657 (방학동,ESA아파트1단지 상가 112호)",,동물을사랑하는사람들,2018-08-31 23:59:59.0,35.30039061345854,129.88819664314858
3898,3899,309000001020040001,3,폐업,0002,폐업,,서울특별시 도봉구 창동 338번지 신원리베르텔 107호,"서울특별시 도봉구 노해로 341 (창동,신원리베르텔 107호)",,참 동물병원,2018-08-31 23:59:59.0,35.30123169371742,129.86723219021215
3899,3900,313000001020040002,3,폐업,0002,폐업,,서울특별시 마포구 성산동 515번지 월드컵경기장내  2층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵경기장내  2층)",,사랑동물병원,2018-08-31 23:59:59.0,35.186745379104366,129.76402345668808
3900,3901,313000001020040003,3,폐업,0002,폐업,,서울특별시 마포구 성산동 253-16번지 1층,"서울특별시 마포구 월드컵로 118 (성산동,1층)",,다솔동물병원,2018-08-31 23:59:59.0,35.19407939992789,129.75079476615028
3901,3902,313000001020040004,3,폐업,0002,폐업,,서울특별시 마포구 염리동 164-4번지 삼부골든타워 106호,,,굿모닝동물병원,2018-08-31 23:59:59.0,35.22482448488072,129.7344537969467
3902,3903,313000001020040005,3,폐업,0002,폐업,,서울특별시 마포구 노고산동 31-2번지,서울특별시 마포구 신촌로 108 (노고산동),4101.0,신촌동물병원,2018-08-31 23:59:59.0,35.218033962874664,129.74696234861497
3903,3904,313000001020040006,3,폐업,0002,폐업,,서울특별시 마포구 용강동 494-68번지,서울특별시 마포구 대흥로 24 (용강동),,프란다스동물의료센타,2018-08-31 23:59:59.0,35.218373465483566,129.73221184721507
3904,3905,313000001020040008,3,폐업,0002,폐업,,서울특별시 마포구 성산동 253-18번지,서울특별시 마포구 월드컵로 122 (성산동),3971.0,다솔동물병원,2018-08-31 23:59:59.0,35.19385440349418,129.7511184731551
3905,3906,313000001020040009,3,폐업,0002,폐업,,서울특별시 마포구 성산동 515번지 월드컵경기장내 2층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵경기장내 2층)",,로얄벳동물병원,2018-08-31 23:59:59.0,35.186745379104366,129.76402345668808
3906,3907,324000001020110002,3,폐업,0002,폐업,,서울특별시 강동구 성내동 447-3번지 정안빌딩 5층,,,(주)우리펫,2018-08-31 23:59:59.0,35.37125316573768,129.71605762003307
3907,3908,324000001020120001,3,폐업,0002,폐업,,,"서울특별시 강동구 아리수로 421, 101호 (강일동, MIDC빌딩)",5211.0,아프리카동물병원,2019-07-03 02:40:00.0,35.40620264505738,129.76841579286454
3908,3909,324000001020120002,3,폐업,0002,폐업,,,서울특별시 강동구 고덕로 133 (암사동),5236.0,사랑해동물병원,2018-08-31 23:59:59.0,35.379135393247886,129.75269654147263
3909,3910,324000001020130001,3,폐업,0002,폐업,,,"서울특별시 강동구 풍성로 197, 102호 (성내동, 한강훼밀리아파트)",5377.0,한나동물병원,2020-01-16 02:40:00.0,35.374656846651355,129.7213313784473
3910,3911,315000001020020002,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 50-49번지 10통3반,"서울특별시 강서구 까치산로 80 (화곡동, 화곡동물병원)",7677.0,화곡동물병원,2018-08-31 23:59:59.0,35.14648991772811,129.73307878512642
3911,3912,315000001020040001,3,폐업,0002,폐업,,서울특별시 강서구 가양동 448-1번지 23통3반 강나루현대아파트 102동 1701호,"서울특별시 강서구 양천로 431 (가양동, 홈플러스가양점)",7527.0,쿨펫동물병원,2018-08-31 23:59:59.0,35.1535338481453,129.75170482976043
3912,3913,317000001020070008,3,폐업,0002,폐업,,서울특별시 금천구 시흥동 992-47번지,서울특별시 금천구 시흥대로 201 (시흥동),8632.0,쿨펫동물병원,2018-08-31 23:59:59.0,35.19122359483625,129.62031605248515
3913,3914,317000001020100001,3,폐업,0002,폐업,,서울특별시 금천구 독산동 989번지,,,보보스동물병원,2018-08-31 23:59:59.0,35.190998919962134,129.64579281733245
3914,3915,315000001020160006,3,폐업,0002,폐업,,서울특별시 강서구 마곡동 751번지 103호,"서울특별시 강서구 마곡중앙로 36, 103호 (마곡동, 마곡엠밸리15단지)",7811.0,쪼꼬동물병원,2018-08-31 23:59:59.0,35.13207285040625,129.7502447052689
3915,3916,315000001020180001,3,폐업,0002,폐업,,서울특별시 강서구 내발산동 702-16,"서울특별시 강서구 강서로 282, 1층 (내발산동)",7680.0,우장산 동물의료센터,2021-07-08 02:40:00.0,35.13757444948673,129.73921110454216
3916,3917,315000001020060002,3,폐업,0002,폐업,,서울특별시 강서구 공항동 현대1차(아)102-404,"서울특별시 강서구 공항대로 19 (공항동, 송정동물병원)",7619.0,송정종합동물병원,2018-08-31 23:59:59.0,35.1158173763037,129.75180054213465
3917,3918,315000001020060003,3,폐업,0002,폐업,,서울특별시 강서구 방화동 1178번지,서울특별시 강서구 금낭화로 51-1 (방화동),7608.0,이솝동물병원,2018-08-31 23:59:59.0,35.11710370810791,129.76182135165038
3918,3919,315000001020060004,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 989-9번지 3통4반 옥탑,서울특별시 강서구 화곡로 293 (화곡동),7687.0,한사랑동물병원,2018-08-31 23:59:59.0,35.14594535154179,129.73942075418367
3919,3920,315000001020060005,3,폐업,0002,폐업,,서울특별시 강서구 내발산동 678-4번지,"서울특별시 강서구 강서로 313 (내발산동, 삼창빌딩)",7632.0,스누피동물병원,2018-08-31 23:59:59.0,35.137330127610355,129.74265180788683
3920,3921,315000001020040004,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 679-2번지 10통6반 1층동,서울특별시 강서구 우장산로 107-1 (화곡동),7650.0,지지펫동물병원,2018-08-31 23:59:59.0,35.14665673150507,129.74255532379493
3921,3922,315000001020040005,3,폐업,0002,폐업,,서울특별시 강서구 염창동 264-7   번지,,,서서울동물병원,2018-08-31 23:59:59.0,inf,inf
3922,3923,315000001020040006,3,폐업,0002,폐업,,서울특별시 강서구 등촌동 23-1번지 17통6반 문래현대5차아파트 502동 1505호,"서울특별시 강서구 강서로 420 (등촌동, 서울호서전문학교)",7583.0,비타민c동물병원,2018-08-31 23:59:59.0,35.14001622349518,129.7539208620583
3923,3924,315000001020050001,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 525-3번지 23통9반 라일락마을 2322동 1105호,"서울특별시 강서구 화곡로43길 24 (화곡동, 쥬라기동물병원)",7689.0,쥬라기동물종합병원,2018-08-31 23:59:59.0,35.14491783488684,129.73539787463457
3924,3925,315000001020050002,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 236-21번지 26통3반 1층,"서울특별시 강서구 곰달래로 223 (화곡동, 화곡동상가)",7749.0,곰달래동물병원,2018-08-31 23:59:59.0,35.15486224285121,129.7165525116434
3925,3926,315000001020050004,3,폐업,0002,폐업,,서울특별시 강서구 내발산동 722-15  번지,,,한마음동물병원,2018-08-31 23:59:59.0,inf,inf
3926,3927,315000001020050005,3,폐업,0002,폐업,,서울특별시 강서구 과해동 272번지,,,폭시펫동물병원,2018-08-31 23:59:59.0,inf,inf
3927,3928,315000001020050006,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 1559-6번지 24통2반 102호,서울특별시 강서구 까치산로 30 (화곡동),7726.0,베스트동물병원,2018-08-31 23:59:59.0,35.143534183821686,129.72883357396165
3928,3929,315000001020050007,3,폐업,0002,폐업,,서울특별시 강서구 내발산동 860번지 10통8반 치현마을서광아파트 105동 602호,"서울특별시 강서구 강서로 341 (내발산동, 창대교회)",7632.0,화이트동물병원,2018-08-31 23:59:59.0,35.13790809225011,129.74574871533815
3929,3930,315000001020050008,3,폐업,0002,폐업,,서울특별시 강서구 방화동 839번지 9통8반 도시개발공사아파트 218동 1504호,"서울특별시 강서구 금낭화로 60 (방화동, 서우빌딩)",7607.0,주주24시종합동물병원,2018-08-31 23:59:59.0,35.12293440994607,129.76781093801847
3930,3931,317000001020110001,3,폐업,0002,폐업,,서울특별시 금천구 독산동 989번지,,,러브펫동물병원,2018-08-31 23:59:59.0,35.190998919962134,129.64579281733245
3931,3932,317000001020120001,3,폐업,0002,폐업,,서울특별시 금천구 독산동 989번지,서울특별시 금천구 독산로85길 40 (독산동),8543.0,러브펫동물병원,2018-08-31 23:59:59.0,35.190998919962134,129.64579281733245
3932,3933,315000001020050009,3,폐업,0002,폐업,,서울특별시 강서구 공항동 844번지 17통1반 남산타운아파트 11동 502호,"서울특별시 강서구 방화대로7길 13 (공항동, 영광익스프레스)",7628.0,바이오벳,2018-08-31 23:59:59.0,35.12062447254764,129.74509744221533
3933,3934,315000001020050010,3,폐업,0002,폐업,,서울특별시 강서구 등촌동 1102-19 5통8반 진성빌라 1동 302호,"서울특별시 강서구 화곡로 398 (등촌동, 삼성홈플러스강서점)",7567.0,도그플러스 동물병원,2020-11-27 02:40:00.0,35.15203942429138,129.74879970659748
3934,3935,315000001020050011,3,폐업,0002,폐업,,서울특별시 강서구 등촌동 42-23번지,"서울특별시 강서구 강서로 420 (등촌동, 서울호서전문학교)",7583.0,호서동물의료센터,2020-03-05 02:40:00.0,35.14001622349518,129.7539208620583
3935,3936,315000001020060006,3,폐업,0002,폐업,,서울특별시 강서구 공항동 610-39번지 18통8반 조은빌 301호,"서울특별시 강서구 공항대로 19 (공항동, 송정동물병원)",7619.0,송정종합동물병원,2018-08-31 23:59:59.0,35.1158173763037,129.75180054213465
3936,3937,315000001020070001,3,폐업,0002,폐업,,서울특별시 강서구 화곡동 679번지 7통,"서울특별시 강서구 강서로18길 15 (화곡동, 24시편의점)",7751.0,24시 동물병원,2018-08-31 23:59:59.0,35.145896552356234,129.71880008750233
3937,3938,313000001020050001,3,폐업,0002,폐업,,서울특별시 마포구 연남동 227-2번지,,,연남동물병원,2018-08-31 23:59:59.0,35.20915602079391,129.75484172840703
3938,3939,313000001020050003,3,폐업,0002,폐업,,서울특별시 마포구 동교동 179-1번지,,,파티마동물병원,2018-08-31 23:59:59.0,35.210763736676135,129.7498907653225
3939,3940,313000001020070001,3,폐업,0002,폐업,,서울특별시 마포구 공덕동 285번지,서울특별시 마포구 마포대로11길 7-18 (공덕동),,연세종합동물병원,2018-08-31 23:59:59.0,35.23033825985239,129.73885056095625
3940,3941,313000001020070004,3,폐업,0002,폐업,,서울특별시 마포구 구수동 57-8번지,,,동물병원 가는날,2018-08-31 23:59:59.0,35.2139826310892,129.73602414872244
3941,3942,316000001020040004,3,폐업,0002,폐업,,서울특별시 구로구 개봉동 62-9번지,서울특별시 구로구 고척로21길 13 (개봉동),8252.0,24시 명 동물병원,2018-08-31 23:59:59.0,35.146254868217675,129.68003012324485
3942,3943,316000001020040006,3,폐업,0002,폐업,,서울특별시 구로구 구로동 1127-27  번지,,,대한동물종합병원,2018-08-31 23:59:59.0,inf,inf
3943,3944,324000001020130004,3,폐업,0002,폐업,,서울특별시 강동구 천호동 450번지,,,DC동물병원,2018-08-31 23:59:59.0,35.371739063024386,129.73009066679825
3944,3945,316000001020040007,3,폐업,0002,폐업,,서울특별시 구로구 고척동 329번지 청솔우성(아) 1층107호,"서울특별시 구로구 중앙로 101 (고척동,청솔우성(아) 1층107호)",,명24시동물병원,2018-08-31 23:59:59.0,35.157263191181734,129.68541081833837
